duration_sec,steps
77.88988304138184,40
210.31255292892456,58
83.50852179527283,38
169.4624137878418,54
51.1417920589447,26
120.23580694198608,66
108.13344717025757,53
108.14038610458374,44
132.51007103919983,56
68.66743588447571,36
139.71745204925537,74
164.71993494033813,70
112.97179222106934,53
145.56440496444702,87
209.67097210884094,95
73.19633197784424,33
205.39912295341492,81
182.61711430549622,65
90.52161359786987,46
133.71481919288635,65
90.12175917625427,41
184.7839481830597,76
111.95695495605469,49
91.41212201118469,48
97.55950617790222,49
123.8904640674591,53
95.55519604682922,53
94.63852596282959,37
87.68598985671997,46
116.56347274780273,48
85.2982280254364,47
150.31895899772644,53
173.82423186302185,49
176.31163024902344,39
162.6295771598816,52
182.82501816749573,54
48.4466118812561,18
145.73153614997864,46
141.5500853061676,48
105.47963094711304,30
195.88916397094727,91
84.18183135986328,40
51.310051918029785,25
148.49990391731262,62
110.04591488838196,42
155.1268470287323,53
88.94091320037842,45
150.04242992401123,51
99.50447082519531,40
191.1189408302307,77
206.79797792434692,80
103.56623411178589,58
377.8699851036072,110
80.18842220306396,29
156.69577503204346,56
118.83359622955322,53
207.59853100776672,79
112.42424607276917,49
110.37540411949158,57
176.47304272651672,69
91.65707802772522,38
250.4894940853119,93
137.04670095443726,54
93.45069098472595,31
126.31186294555664,46
188.50102186203003,73
96.77635192871094,42
153.23085403442383,49
104.82800197601318,51
101.9263379573822,39
183.02864980697632,61
186.13787698745728,73
186.3834822177887,64
138.20966291427612,51
76.74058771133423,36
94.14212083816528,35
221.59657382965088,110
126.28150200843811,45
66.37192487716675,21
295.8123068809509,104
171.33837723731995,79
92.69711422920227,27
67.03752183914185,28
113.81888103485107,64
209.9009370803833,82
82.06064200401306,45
157.6067819595337,82
114.37939500808716,46
74.22375130653381,38
76.98345804214478,48
212.9053099155426,81
113.12806510925293,53
105.92545580863953,48
104.71084189414978,50
230.80434393882751,87
216.84302687644958,74
138.36729383468628,60
59.02586102485657,23
104.21131992340088,49
131.6831178665161,57
